TestName,TestStartTime,TestEndTime,MurakamiLocation,MurakamiConnectionType,MurakamiNetworkType,DownloadValue,DownloadUnit,UploadValue,UploadUnit
speedtest-cli-single-stream,2023-05-05T08:18:03.197803,2023-05-05T08:18:25.010644,lanneremc2,wired,home,248285306.86745214,Bit/s,25510904.160418432,Bit/s
speedtest-cli-single-stream,2023-05-05T08:44:13.893030,2023-05-05T08:44:35.604685,lanneremc2,wired,home,154138174.8400656,Bit/s,24444877.178538077,Bit/s
speedtest-cli-single-stream,2023-05-05T13:31:07.449619,2023-05-05T13:31:29.973564,lanneremc2,wired,home,251172128.2146769,Bit/s,25459871.113196645,Bit/s
speedtest-cli-single-stream,2023-05-05T16:31:32.663105,2023-05-05T16:31:54.631578,lanneremc2,wired,home,200797267.68061176,Bit/s,21020379.673652392,Bit/s
speedtest-cli-single-stream,2023-05-05T16:51:18.964369,2023-05-05T16:51:40.843063,lanneremc2,wired,home,167645699.0875194,Bit/s,21145583.174491387,Bit/s
speedtest-cli-single-stream,2023-05-06T00:42:06.556785,2023-05-06T00:42:29.623724,lanneremc2,wired,home,203363149.15750256,Bit/s,21271943.205511447,Bit/s
speedtest-cli-single-stream,2023-05-06T03:06:26.789405,2023-05-06T03:06:48.680383,lanneremc2,wired,home,103894547.24339035,Bit/s,32870068.271246832,Bit/s
speedtest-cli-single-stream,2023-05-06T08:16:03.085061,2023-05-06T08:16:28.596048,lanneremc2,wired,home,103704114.77071333,Bit/s,32513699.5649428,Bit/s
speedtest-cli-single-stream,2023-05-06T16:59:41.120128,2023-05-06T17:00:03.042929,lanneremc2,wired,home,29753657.369620107,Bit/s,26683509.07463376,Bit/s
speedtest-cli-single-stream,2023-05-06T17:38:39.356026,2023-05-06T17:39:02.593992,lanneremc2,wired,home,42409009.64783088,Bit/s,26520874.586618908,Bit/s
speedtest-cli-single-stream,2023-05-07T09:56:54.217528,2023-05-07T09:57:16.061327,lanneremc2,wired,home,297663206.9205739,Bit/s,26769400.999994896,Bit/s
speedtest-cli-single-stream,2023-05-07T16:29:39.100509,2023-05-07T16:30:01.314576,lanneremc2,wired,home,120018979.59741598,Bit/s,26486678.249089073,Bit/s
speedtest-cli-single-stream,2023-05-08T01:25:51.411303,2023-05-08T01:26:13.128692,lanneremc2,wired,home,104538396.21866919,Bit/s,32989851.991399813,Bit/s
speedtest-cli-single-stream,2023-05-08T01:40:50.667880,2023-05-08T01:41:13.850440,lanneremc2,wired,home,163809014.9703804,Bit/s,26649114.545792606,Bit/s
speedtest-cli-single-stream,2023-05-08T02:31:50.381352,2023-05-08T02:32:12.242554,lanneremc2,wired,home,203878034.54136658,Bit/s,26266444.30002103,Bit/s
speedtest-cli-single-stream,2023-05-08T21:48:29.579712,2023-05-08T21:48:51.183644,lanneremc2,wired,home,269592389.59344983,Bit/s,27083998.67262417,Bit/s
speedtest-cli-single-stream,2023-05-08T23:23:45.095715,2023-05-08T23:24:06.954006,lanneremc2,wired,home,123339548.0056786,Bit/s,26958664.047445253,Bit/s
speedtest-cli-single-stream,2023-05-09T04:25:31.681521,2023-05-09T04:25:53.371110,lanneremc2,wired,home,132022335.34564136,Bit/s,33137616.999693874,Bit/s
speedtest-cli-single-stream,2023-05-09T13:52:51.045107,2023-05-09T13:53:13.153801,lanneremc2,wired,home,46274670.75063183,Bit/s,26140277.50123794,Bit/s
speedtest-cli-single-stream,2023-05-09T15:21:09.411408,2023-05-09T15:21:31.158963,lanneremc2,wired,home,263070894.69432864,Bit/s,25879614.235552,Bit/s
speedtest-cli-single-stream,2023-05-10T08:31:11.139771,2023-05-10T08:31:32.858335,lanneremc2,wired,home,226155797.51670092,Bit/s,27094900.68186416,Bit/s
speedtest-cli-single-stream,2023-05-10T10:48:16.616384,2023-05-10T10:48:38.426413,lanneremc2,wired,home,218537484.22554633,Bit/s,26931792.739144213,Bit/s
speedtest-cli-single-stream,2023-05-11T04:36:58.893472,2023-05-11T04:37:21.867722,lanneremc2,wired,home,116438780.7792764,Bit/s,27138899.932782993,Bit/s
speedtest-cli-single-stream,2023-05-11T17:42:38.650686,2023-05-11T17:43:01.227861,lanneremc2,wired,home,43039208.748030886,Bit/s,26425242.310066868,Bit/s
speedtest-cli-single-stream,2023-05-12T01:20:32.658213,2023-05-12T01:20:55.612442,lanneremc2,wired,home,64068061.53783461,Bit/s,27111712.644297127,Bit/s
speedtest-cli-single-stream,2023-05-12T03:33:14.378721,2023-05-12T03:33:36.381381,lanneremc2,wired,home,125368774.5761141,Bit/s,25681873.10510063,Bit/s
speedtest-cli-single-stream,2023-05-12T03:42:57.038905,2023-05-12T03:43:20.234451,lanneremc2,wired,home,111534125.56159833,Bit/s,24254515.643689808,Bit/s
speedtest-cli-single-stream,2023-05-12T04:35:36.247440,2023-05-12T04:35:59.886515,lanneremc2,wired,home,187450864.50600705,Bit/s,25867047.341640882,Bit/s
speedtest-cli-single-stream,2023-05-12T05:29:47.084913,2023-05-12T05:30:10.203596,lanneremc2,wired,home,31707707.897111196,Bit/s,26752895.44761141,Bit/s
speedtest-cli-single-stream,2023-05-12T18:25:25.701717,2023-05-12T18:25:47.714773,lanneremc2,wired,home,207202419.29520407,Bit/s,26802269.034330294,Bit/s
speedtest-cli-single-stream,2023-05-12T21:11:09.953983,2023-05-12T21:11:33.217106,lanneremc2,wired,home,119488897.95826457,Bit/s,27101644.94830161,Bit/s
speedtest-cli-single-stream,2023-05-13T06:37:21.347817,2023-05-13T06:37:43.778222,lanneremc2,wired,home,134017622.22299115,Bit/s,26794251.844402283,Bit/s
speedtest-cli-single-stream,2023-05-14T09:22:09.779006,2023-05-14T09:22:32.142541,lanneremc2,wired,home,107158682.06083123,Bit/s,17092891.4194312,Bit/s
speedtest-cli-single-stream,2023-05-14T20:09:11.083423,2023-05-14T20:09:33.523924,lanneremc2,wired,home,293393629.220753,Bit/s,26622920.00892932,Bit/s
speedtest-cli-single-stream,2023-05-14T21:01:57.097122,2023-05-14T21:02:19.306082,lanneremc2,wired,home,105608198.52636217,Bit/s,15619999.049798196,Bit/s
speedtest-cli-single-stream,2023-05-15T08:32:53.667644,2023-05-15T08:33:26.357027,lanneremc2,wired,home,285251781.83671725,Bit/s,26653147.762639903,Bit/s
speedtest-cli-single-stream,2023-05-15T12:27:40.136553,2023-05-15T12:28:04.263186,lanneremc2,wired,home,42497900.48084137,Bit/s,26740356.2104293,Bit/s
speedtest-cli-single-stream,2023-05-15T18:22:27.562464,2023-05-15T18:22:49.562496,lanneremc2,wired,home,33029398.811756898,Bit/s,32796451.34357724,Bit/s
speedtest-cli-single-stream,2023-05-15T22:27:43.457608,2023-05-15T22:28:06.010233,lanneremc2,wired,home,133431856.65923347,Bit/s,26750228.875569183,Bit/s
speedtest-cli-single-stream,2023-05-16T03:57:54.325842,2023-05-16T03:58:16.803039,lanneremc2,wired,home,32786603.879481196,Bit/s,32516197.042274352,Bit/s
speedtest-cli-single-stream,2023-05-16T11:19:47.871568,2023-05-16T11:20:10.053107,lanneremc2,wired,home,46298849.20371208,Bit/s,33286580.961824484,Bit/s
speedtest-cli-single-stream,2023-05-17T07:06:27.289765,2023-05-17T07:06:50.410010,lanneremc2,wired,home,30502483.146209653,Bit/s,26375834.55584821,Bit/s
speedtest-cli-single-stream,2023-05-18T05:54:18.281417,2023-05-18T05:54:41.616496,lanneremc2,wired,home,168231738.28850126,Bit/s,19382880.626063548,Bit/s
speedtest-cli-single-stream,2023-05-18T15:54:58.932872,2023-05-18T15:55:21.108110,lanneremc2,wired,home,126398386.81888796,Bit/s,27100888.262689214,Bit/s
speedtest-cli-single-stream,2023-05-18T17:42:00.226371,2023-05-18T17:42:22.463571,lanneremc2,wired,home,115069313.87893222,Bit/s,26584324.577183176,Bit/s
speedtest-cli-single-stream,2023-05-19T13:40:04.143923,2023-05-19T13:40:26.418667,lanneremc2,wired,home,33623652.5339007,Bit/s,32734475.287371952,Bit/s
speedtest-cli-single-stream,2023-05-19T15:39:07.905316,2023-05-19T15:39:31.329791,lanneremc2,wired,home,33458023.216923747,Bit/s,31994552.650688894,Bit/s
speedtest-cli-single-stream,2023-05-19T18:27:27.795636,2023-05-19T18:27:50.697042,lanneremc2,wired,home,168107873.27928272,Bit/s,23414325.409543164,Bit/s
speedtest-cli-single-stream,2023-05-20T11:44:08.954912,2023-05-20T11:44:33.527860,lanneremc2,wired,home,68931264.82243983,Bit/s,18143492.364526004,Bit/s
speedtest-cli-single-stream,2023-05-20T15:09:43.382295,2023-05-20T15:10:06.039652,lanneremc2,wired,home,71676585.14959025,Bit/s,26680319.61117231,Bit/s
speedtest-cli-single-stream,2023-05-20T16:18:58.363710,2023-05-20T16:19:22.463310,lanneremc2,wired,home,148224936.29483122,Bit/s,26404693.691833485,Bit/s
speedtest-cli-single-stream,2023-05-21T01:58:16.477405,2023-05-21T01:58:39.187006,lanneremc2,wired,home,39001505.299811214,Bit/s,27171734.289132588,Bit/s
speedtest-cli-single-stream,2023-05-21T13:39:50.096781,2023-05-21T13:40:14.949470,lanneremc2,wired,home,194195756.1468491,Bit/s,21338190.580309626,Bit/s
speedtest-cli-single-stream,2023-05-21T14:03:18.585846,2023-05-21T14:03:42.232894,lanneremc2,wired,home,190073406.41783875,Bit/s,21184769.01900564,Bit/s
speedtest-cli-single-stream,2023-05-22T00:44:31.279574,2023-05-22T00:44:53.600289,lanneremc2,wired,home,255604805.58538306,Bit/s,21258190.707699355,Bit/s
speedtest-cli-single-stream,2023-05-22T19:10:47.495875,2023-05-22T19:11:09.421645,lanneremc2,wired,home,33775596.70281465,Bit/s,32230652.35917017,Bit/s
speedtest-cli-single-stream,2023-05-22T21:16:47.377327,2023-05-22T21:17:09.278297,lanneremc2,wired,home,33547588.080891415,Bit/s,32372012.02142888,Bit/s
speedtest-cli-single-stream,2023-05-22T22:50:49.503217,2023-05-22T22:51:12.343035,lanneremc2,wired,home,206538082.18030882,Bit/s,27203170.82966223,Bit/s
speedtest-cli-single-stream,2023-05-23T05:24:56.309840,2023-05-23T05:25:21.363236,lanneremc2,wired,home,269103360.41326624,Bit/s,26251876.16881599,Bit/s
speedtest-cli-single-stream,2023-05-23T05:36:05.417526,2023-05-23T05:36:29.499780,lanneremc2,wired,home,271268335.19509965,Bit/s,26325926.01671923,Bit/s
speedtest-cli-single-stream,2023-05-23T11:17:48.825409,2023-05-23T11:18:13.775248,lanneremc2,wired,home,134214139.24168928,Bit/s,26560579.297742173,Bit/s
speedtest-cli-single-stream,2023-05-23T11:29:28.262507,2023-05-23T11:29:51.736329,lanneremc2,wired,home,72004342.03121993,Bit/s,26844079.03767724,Bit/s
speedtest-cli-single-stream,2023-05-23T13:53:00.406569,2023-05-23T13:53:23.082895,lanneremc2,wired,home,81125158.9461007,Bit/s,26803337.70080346,Bit/s
speedtest-cli-single-stream,2023-05-23T18:28:33.793071,2023-05-23T18:28:56.530246,lanneremc2,wired,home,277075231.6891958,Bit/s,26627329.679693736,Bit/s
speedtest-cli-single-stream,2023-05-24T04:04:35.711406,2023-05-24T04:04:59.138812,lanneremc2,wired,home,295164299.4662894,Bit/s,26423243.334560726,Bit/s
speedtest-cli-single-stream,2023-05-24T05:45:29.506562,2023-05-24T05:45:52.147312,lanneremc2,wired,home,276822738.94713503,Bit/s,26805838.787283596,Bit/s
speedtest-cli-single-stream,2023-05-24T12:17:25.165403,2023-05-24T12:17:47.165906,lanneremc2,wired,home,284258825.1953584,Bit/s,26059802.526259463,Bit/s
speedtest-cli-single-stream,2023-05-24T19:06:18.551594,2023-05-24T19:06:40.947282,lanneremc2,wired,home,296640905.4136244,Bit/s,26679635.119029116,Bit/s
speedtest-cli-single-stream,2023-05-24T19:23:14.484392,2023-05-24T19:23:36.628677,lanneremc2,wired,home,298008710.9057293,Bit/s,26764995.841234937,Bit/s
speedtest-cli-single-stream,2023-05-24T22:40:34.095529,2023-05-24T22:40:56.405819,lanneremc2,wired,home,103763630.69149968,Bit/s,33709555.0073915,Bit/s
speedtest-cli-single-stream,2023-04-19T22:28:47.046411,2023-04-19T22:29:08.797781,td_lanneremc2,wired,home,279077163.05708385,Bit/s,14723880.255109843,Bit/s
speedtest-cli-single-stream,2023-04-27T04:27:41.658061,2023-04-27T04:28:03.650284,td_lanneremc2,wired,home,64192578.36252482,Bit/s,18529080.172602266,Bit/s
speedtest-cli-single-stream,2023-04-27T04:27:42.746732,2023-04-27T04:28:04.811948,td_lanneremc2,wired,home,39203797.98263487,Bit/s,16929651.647108186,Bit/s
